1.99381e+1, 1.25782e-3
2.10531e+1, 1.17210e-3
2.29323e+1, 1.05436e-3
2.49792e+1, 9.48444e-4
2.57680e+1, 9.11528e-4
2.66851e+1, 8.76050e-4
2.87304e+1, 7.95029e-4
3.06927e+1, 7.31113e-4
3.16617e+1, 7.05763e-4
3.25347e+1, 6.84304e-4
3.38243e+1, 6.49024e-4
3.48922e+1, 6.26520e-4
3.57155e+1, 6.07470e-4
3.65582e+1, 5.89000e-4
3.75665e+1, 5.68577e-4
3.86026e+1, 5.48863e-4
4.01320e+1, 5.25178e-4
4.15606e+1, 5.02515e-4
4.30403e+1, 4.78715e-4
4.45721e+1, 4.60082e-4
4.72482e+1, 4.24964e-4
5.06714e+1, 3.90800e-4
5.32971e+1, 3.67396e-4
5.64966e+1, 3.40853e-4
6.05904e+1, 3.12071e-4
6.49794e+1, 2.89525e-4
6.75559e+1, 2.72186e-4
7.05060e+1, 2.59294e-4
7.44481e+1, 2.42693e-4
7.95331e+1, 2.23182e-4
8.46358e+1, 2.06147e-4
8.73093e+1, 1.97251e-4
9.29088e+1, 1.84622e-4
9.69674e+1, 1.74333e-4
1.02390e+2, 1.62453e-4
1.06035e+2, 1.55443e-4
1.11097e+2, 1.46134e-4
1.15051e+2, 1.40446e-4
1.19148e+2, 1.33794e-4
1.24352e+2, 1.26896e-4
1.29278e+2, 1.21420e-4
1.35978e+2, 1.13646e-4
1.40820e+2, 1.08264e-4
1.46969e+2, 1.03136e-4
1.54585e+2, 9.69594e-5
1.60713e+2, 9.15558e-5
1.69040e+2, 8.64533e-5
1.77108e+2, 8.19961e-5
1.83414e+2, 7.81125e-5
1.93668e+2, 7.34345e-5
2.03709e+2, 6.78293e-5
2.20171e+2, 6.21017e-5
2.28898e+2, 5.89000e-5
2.38894e+2, 5.61102e-5
2.48361e+2, 5.34527e-5
2.57201e+2, 5.11461e-5
2.68435e+2, 4.85092e-5
2.77990e+2, 4.64159e-5
2.87890e+2, 4.40229e-5
2.99297e+2, 4.21232e-5
3.11157e+2, 4.01281e-5
3.23485e+2, 3.83965e-5
3.37616e+2, 3.62566e-5
3.56494e+2, 3.39353e-5
3.72058e+2, 3.24709e-5
3.83817e+2, 3.07968e-5
3.99024e+2, 2.94679e-5
