,time,T,density,Y_CH4,Y_O2,Y_CO2,Y_CO,Y_H2O,Y_H2,Y_H,Y_O,Y_OH,Y_H2O2,Y_HO2,Y_CH3,Y_CH3O2H,Y_CH3O2,Y_CH3O,Y_CH2OH,Y_CH2O,Y_HCO,Y_C2H6,Y_C2H5,Y_C2H4,Y_C2H3,Y_N2
0,1.063264705116777e-09,749.9999999999998,11.020790746230002,0.026155725910726624,0.22681730829142083,0.0,0.0,0.0,2.8434677413429374e-30,4.1762633312853775e-27,5.565077935683064e-26,4.418031916716959e-23,3.1100006312874934e-25,3.2729528436328994e-17,1.4131546896382478e-17,0.0,2.4321241643329852e-18,1.0790265303552087e-25,0.0,7.80006768444189e-23,0.0,6.84986065541806e-33,1.2983120218256736e-37,0.0,0.0,0.7470269657978525
1,4.8921114470957295e-08,749.9999999999945,11.02079074623009,0.026155725910725913,0.2268173082914184,0.0,2.7905771143236505e-33,4.347748053057327e-22,1.475878125226165e-27,-1.418953119892411e-25,3.4343226489896687e-23,2.69234648940948e-20,2.1225136007491423e-22,1.5058948231750395e-15,2.0497189580637328e-16,2.4852304112168473e-23,1.5046009732065796e-15,6.629891301077798e-23,8.396426996063298e-36,4.8258512083128806e-20,6.0341978018391794e-33,1.844381794373492e-28,3.484270144166196e-33,1.1138476560980863e-35,0.0,0.7470269657978527
2,1.3894300834726154e-07,749.9999999999869,11.020790746230228,0.02615572591072456,0.2268173082914132,1.9988151503052146e-44,2.212458678173986e-31,1.1476315444400668e-20,3.5122432900722326e-28,6.572699604802908e-25,1.1773840810249204e-22,8.447561052240453e-20,1.2016222571872586e-21,4.276957499823203e-15,2.720470072974841e-16,6.648207629230318e-22,5.24333581478434e-15,2.205617865156274e-22,1.616590556986547e-34,1.6827777910182264e-19,1.9481445256878825e-31,6.251177718426551e-28,1.1280679392683324e-32,5.478274992915352e-34,2.6909323353964106e-50,0.7470269657978525
3,3.480708285622063e-07,749.9999999999704,11.020790746230528,0.026155725910721427,0.22681730829140073,2.1006028873127794e-42,4.758399478399993e-30,6.705948943695763e-20,2.1431964125832393e-26,-3.3293209368724966e-24,3.1522923976393606e-22,1.9805271098189265e-19,5.155752086544574e-21,1.071434898444127e-14,2.880309171960514e-16,4.1539405165488364e-21,1.4366206011119362e-14,5.642582499871806e-22,-3.1218789604174984e-33,4.614782566566598e-19,-2.1867489502518095e-30,1.6568722183353203e-27,2.79203595734695e-32,3.3617534564922516e-33,1.655828689876077e-48,0.7470269657978525
4,1.0499547818163584e-06,749.9999999999153,11.020790746231544,0.026155725910710928,0.22681730829135888,-9.461165028788443e-41,-4.1243507177290487e-29,3.3950753360854753e-19,-7.502174157472805e-26,2.690056276394552e-23,9.579151854794003e-22,5.013454773212454e-19,2.4054411360297144e-20,3.2319797577800425e-14,2.9723937878971085e-16,2.288594317659412e-20,4.512401672261751e-14,1.6145198054515757e-21,1.158627106019081e-31,1.4512323757317041e-18,5.800755823755917e-29,5.087374598744846e-27,7.814211335646599e-32,1.7642991534226943e-32,1.0375613154376039e-47,0.7470269657978525
5,5.227234412290696e-06,749.9999999995872,11.020790746237576,0.026155725910648426,0.2268173082911097,-4.4717912789072e-37,-5.400985890101671e-26,3.543276978699408e-18,-1.172714076120203e-23,3.0642729636984557e-21,4.140738547161651e-21,8.306301541041977e-19,2.852634965229913e-19,1.6090492203660182e-13,3.4430686348379055e-16,3.20530328212534e-19,2.2820837705844407e-13,5.3921656656519445e-21,2.4246807555222204e-28,7.375061930956758e-18,5.616969433385472e-26,2.53670396918631e-26,2.6223170361882927e-31,2.109177180541878e-31,5.354159270560052e-47,0.7470269657978525
6,4.700003071703407e-05,749.9999999963057,11.020790746297921,0.0261557259100233,0.22681730828861724,-2.9945420904375403e-31,-6.265496445909863e-21,5.0647734063230986e-17,2.0666420856843282e-23,1.2638255513068003e-21,-1.8932625629260453e-19,9.348191741248266e-20,9.002199858122035e-17,1.4466731805821837e-12,8.143627347100301e-16,1.1234368086530966e-16,2.0591869115209805e-12,-4.102161163878004e-19,-3.940197344723218e-21,8.462634095140589e-17,6.491051157800726e-21,3.254255304637636e-25,-1.9648544130898431e-29,2.4912630635054145e-29,-4.008086107811048e-43,0.7470269657978525
7,0.0002692816599825904,749.9999999788444,11.020790746619028,0.026155725906696858,0.2268173082753546,8.539526177579046e-30,-2.539451836703485e-20,2.9829947812315474e-16,1.2256148361244534e-22,5.688417975246858e-21,-1.049080255944298e-18,-1.776855775585353e-19,5.762116445159616e-16,8.288500247333588e-12,3.315802479204743e-15,7.192864828907258e-16,1.1802200151870087e-11,-1.6348543857385534e-18,9.772736162034213e-21,4.964739910787995e-16,2.6308892300068685e-20,1.9596854322292804e-24,-8.16373313897805e-29,1.1462180202302888e-28,1.9206448637829923e-42,0.7470269657978525
8,0.0024920979526381537,749.99999980423,11.020790749830104,0.026155725873432435,0.22681730814272813,-8.798642159950022e-31,-2.4145977153437447e-19,2.774812488353483e-15,1.1240591351133702e-21,5.425769405584632e-20,-9.636486848619544e-18,-2.8229731017622487e-18,5.438744970300826e-15,7.670677014466789e-11,2.833020971685567e-14,6.789510508423408e-15,1.0923233315882468e-10,-1.3841099985809828e-17,8.943768938399725e-20,4.615096974967715e-15,2.5015392158874456e-19,1.832392620118435e-23,-6.993302966553702e-28,1.0099913038846758e-27,2.5486130339546514e-41,0.7470269657978525
9,0.024720260879193788,749.9999980580872,11.02079078194084,0.02615572554078819,0.22681730681646306,-3.8915610866395174e-27,-2.499276317489769e-18,2.7539770861155844e-14,1.102588146007681e-20,5.626156534193746e-19,-9.506185740516636e-17,-2.6365266610490004e-17,5.4092506818202116e-14,7.608894378617835e-10,2.784751805718503e-13,6.752751351537662e-14,1.083533687458412e-09,-1.3403497650139688e-16,9.423753996450294e-19,4.580531362371777e-14,2.5892649783002425e-18,1.9121817630933595e-22,-6.637360928774428e-27,9.902373127887578e-27,2.6142636427017416e-40,0.7470269657978525
